"scope","group","n_imputed","n_over_35kt","pct_over_35kt","n_cells_with_both","n_cells_violate","pct_cells_violate","n_imp_in_mixed_cells","n_imp_over_min_ets","pct_imp_over_min_ets"
"overall","ALL",632697,622,0.098,119,107,89.916,622198,105476,16.952
"by_crf","energy",5189,224,4.317,17,15,88.235,5189,2979,57.41
"by_crf","chemicals",3681,187,5.08,17,16,94.118,3681,1906,51.779
"by_crf","agriculture",10499,133,1.267,NA,NA,NA,NA,NA,NA
"by_crf","commercial",415215,64,0.015,17,17,100,415215,62310,15.007
"by_crf","metals",23107,14,0.061,17,8,47.059,23107,912,3.947
"by_crf","food",14388,0,0,17,17,100,14388,4111,28.572
"by_crf","mfg_other",156562,0,0,17,17,100,156562,31187,19.92
"by_crf","minerals",4056,0,0,17,17,100,4056,2071,51.06
"by_year","2005",29480,68,0.231,7,6,85.714,29083,902,3.101
"by_year","2006",30283,61,0.201,7,7,100,29868,1576,5.277
"by_year","2007",29881,55,0.184,7,7,100,29479,624,2.117
"by_year","2008",31143,24,0.077,7,7,100,30707,4023,13.101
"by_year","2009",32029,8,0.025,7,5,71.429,31558,8107,25.689
"by_year","2010",32263,25,0.077,7,7,100,31750,9828,30.954
"by_year","2011",32747,24,0.073,7,7,100,32225,10026,31.112
"by_year","2012",32844,34,0.104,7,7,100,32297,19314,59.801
"by_year","2013",31157,39,0.125,7,5,71.429,30630,16194,52.87
"by_year","2014",31727,14,0.044,7,6,85.714,31218,3096,9.917
"by_year","2015",31015,39,0.126,7,6,85.714,30459,4493,14.751
"by_year","2016",49250,30,0.061,7,6,85.714,48384,9559,19.757
"by_year","2017",49006,30,0.061,7,6,85.714,48134,4615,9.588
"by_year","2018",49134,33,0.067,7,6,85.714,48281,5872,12.162
"by_year","2019",49209,31,0.063,7,6,85.714,48334,4374,9.05
"by_year","2020",46372,27,0.058,7,6,85.714,45488,2141,4.707
"by_year","2021",45157,80,0.177,7,7,100,44303,732,1.652
